Item Wise Tax Detail,Detail daně dle položky,
Job Applicant,Uchazeč o zaměstnání,
Job Card,Výrobní karta,
Job Offer,Nabídka zaměstnání,
Job Opening,Volná pozice,
Journal Entry,Účetní zápis,
Lead,Potenciální zákazník,
Leave Allocation,Přidělení volna,
Leave Application,Žádost o volno,
Leave Balance,Zůstatek volna,
Leave Block List,Blokovaná období volna,
Leave Period,Období volna,
Leave Policy,Politika volna,
Leave Type,Typ volna,
Letter Head,Hlavičkový papír,
Logs to Clear,Logy k vymazání,
Loyalty Program,Věrnostní program,
Maintenance Schedule,Plán údržby,
Maintenance Visit,Servisní návštěva,
Male,Muž,
Material Request,Požadavek na materiál,
Mobile No,Mobilní telefon,
Mode Of Payment,Způsob platby,
Mode of Payment,Způsob platby,
Mode of Payment Account,Účet způsobu platby,
Modified By,Upravil,
Naming Series,Číselná řada,
Net Total,Čistá částka,
New,Nový,
None,Žádné,
Not Started,Nezahájeno,
Notice Period,Výpovědní lhůta,
Notification,Oznámení,
On Hold,Pozastaveno,
On hold,Pozastaveno,
On Leave,Na volnu,
Open,Otevřeno,
Opportunity,Obchodní příležitost,
Other,Jiné,
Out Time,Odchod,
Overdue,Po splatnosti,
Owner,Vlastník,
Paid,Zaplaceno,
Part-time,Částečný úvazek,
Pause Sla on Status,Pozastavit SLA při stavu,
Payment Entry,Platba,
Payment Terms Template,Šablona platebních podmínek,
Payroll Entry,Zpracování mezd,
Pending,Čeká na vyřízení,
Postal Code,PSČ,
Present,Přítomen,
Price List,Ceník,
Pricing Rule,Cenové pravidlo,
Print,Tisk,
Print Format,Tiskový formát,
Print Settings,Nastavení tisku,
Privilege Leave,Dovolená,
Probation,Zkušební doba,
Process Statement of Accounts,Zpracování výpisu účtů,
Process Statement of Accounts Cc,Zpracování výpisu účtů - kopie,
Process Statement of Accounts Customer,Zpracování výpisu účtů - klient,
Production Plan,Výrobní plán,
Project,Projekt,
project,Projekt,
Purchase Invoice,Přijatá faktura,
Purchase Order,Nákupní objednávka,
Purchase Receipt,Příjemka,
Purpose of Travel,Účel cesty,
Quality Inspection,Kontrola kvality,
Quantity,Množství,
quantity,Množství,
Quotation,Nabídka,
Rejected,Zamítnuto,
Relieving Date,Datum ukončení,
Remarks,Poznámky,
remarks,Poznámky,
Reply to Address,Adresa pro odpověď,
Report,Report,
Reports To,Nadřízený,
Reports to,Nadřízený,
Requested,Požadováno,
Role,Role,
Salary Component,Mzdová složka,
Salary Slip,Výplatní páska,
Salary Structure,Mzdová struktura,
Sales Invoice,Vydaná faktura,
Sales Order,Prodejní objednávka,
Save,Uložit,
Serial No,Sériové číslo,
Series,Řada,
Shift Assignment,Přiřazení směny,
Shift End Time,Konec směny,
Shift Request,Žádost o směnu,
Shift Start Time,Začátek směny,
Shift Type,Typ směny,
Sick Leave,Nemocenská,
Sla Fulfilled on Status,SLA splněno při stavu,
Status,Stav,
status,Stav,
Stock Entry,Skladový pohyb,
Stock Reconciliation,Skladová inventura,
Subcontracting Order,Objednávka subdodávky,
Subcontracting Receipt,Příjemka subdodávky,
Submit,Odeslat,
Supplier,Dodavatel,
System Manager,Správce systému,
System Settings,Nastavení systému,
Task,Úkol,
Tax Rule,Daňové pravidlo,
Terms and Conditions,Obchodní podmínky,
Time Zone,Časové pásmo,
Timesheet,Výkaz práce,
timesheet,Výkaz práce,
To Date,Do data,
Total Leaves Allocated,Celkem přiděleno volna,
Total Leaves Taken,Celkem čerpáno volna,
Training Event,Školení,
Training Program,Vzdělávací program,
Transaction Deletion Record to Delete,Záznam transakce k odstranění,
Unpaid,Nezaplaceno,
UOM,Měrná jednotka,
uom,Měrná jednotka,
Upload,Nahrát,
User,Uživatel,
user,Uživatel,
Vehicle Log,Kniha jízd,
Warehouse,Sklad,
warehouse,Sklad,
Work Order,Výrobní příkaz,
Workflow,Workflow,
Working From Home,Práce z domova,
Working Hours,Pracovní doba,
Working Hours Threshold for Absent,Práh pracovní doby pro nepřítomnost,
Working Hours Threshold for Half Day,Práh pracovní doby pro půl dne,
Workspace,Pracovní plocha,
Yes,Ano,
